Albania,Tirana

Andorra,Andorra la Vella

Armenia,Erevan

Austria,Viena

Azerbaijan,Baku

Belarus,Minsk

Belgium,Bruxelles

Bosnia and Herzegovina,Sarajevo

Bulgaria,Sofia

Croatia,Zagreb

Cipru,Nicosia

Cehia,Praga

Denmarca,Copenhaga

Elvetia,Bern

Estonia,Talin

Finland,Helsinki

France,Paris

Georgia,Tibilisi

Germania,Berlin

Grecia,Athens

Ungaria,Budapest

Islanda,Reykjavik

Irlanda,Dublin

Italia,Roma

Kosovo,Pristina

Letonia,Riga

Liechtenstein,Vaduz

Lituania,Vilnius

Luxembourg,Luxembourg

Malta,Valletta

Moldova,Chisinau

Monaco,Monaco

Montenegro,Podgorica

Olanda,Amsterdam

Macedonia,Skopje

Marea Britanie,Londra

Norvegia,Oslo

Polonia,Varsovia

Portugalia,Lisbona

Romania,Bucuresti

Rusia,Moscova

San Marino,San Marino

Serbia,Belgrad

Slovacia,Bratislava

Slovenia,Ljubljana

Spania,Madrid

Suedia,Stockholm

Turcia, Ankara

Ucraina,Kiev

Vatican,Vatican
